Episode_ID,Season,Episode,Rating,Votes
692,1,692,8.1,1448
693,1,693,7.3,952
694,1,694,7.3,941
695,1,695,8.1,1178
696,1,696,8.5,1716
697,1,697,9.1,2946
698,1,698,9.3,3699
699,1,699,9.2,2931
700,1,700,8.9,2726
701,1,701,9.3,3141
702,1,702,9.2,3082
703,1,703,9.4,3595
704,1,704,9.2,3117
705,1,705,9.4,3668
706,1,706,9.7,13928
707,1,707,8.3,1680
708,1,708,9.1,2873
709,1,709,7.8,1164
710,1,710,8.2,1262
711,1,711,7.8,1127
712,1,712,8.2,1571
713,1,713,8.6,1851
714,1,714,7.6,1097
715,1,715,9.1,3021
716,1,716,8.8,2171
717,1,717,8.7,1904
718,1,718,8.3,1644
719,1,719,9.5,4643
720,1,720,9.0,2728
721,1,721,9.1,2686
722,1,722,9.3,2918
723,1,723,9.5,5246
724,1,724,9.0,2686
725,1,725,9.3,4299
726,1,726,9.7,23249
727,1,727,8.9,2315
728,1,728,9.2,3257
729,1,729,8.7,2012
730,1,730,7.8,1142
731,1,731,7.7,985
732,1,732,8.1,1210
733,1,733,9.4,4127
734,1,734,7.7,1107
735,1,735,8.4,1661
736,1,736,9.1,2778
737,1,737,8.7,1918
738,1,738,9.1,2754
739,1,739,9.2,3110
740,1,740,7.8,1121
741,1,741,7.7,1078
742,1,742,7.8,1047
743,1,743,9.1,2714
744,1,744,9.2,2960
745,1,745,9.1,2843
746,1,746,8.8,1959
747,1,747,6.4,748
748,1,748,6.2,746
749,1,749,6.3,729
750,1,750,6.3,726
751,1,751,7.1,834
752,1,752,7.6,856
753,1,753,7.4,857
754,1,754,7.5,835
755,1,755,7.5,875
756,1,756,7.5,842
757,1,757,7.5,837
758,1,758,7.4,841
759,1,759,7.7,1003
760,1,760,7.7,999
761,1,761,7.6,896
762,1,762,7.9,1076
763,1,763,8.4,1608
764,1,764,8.6,1750
765,1,765,7.3,894
766,1,766,7.6,1024
767,1,767,9.2,2904
768,1,768,7.8,1093
769,1,769,8.7,1958
770,1,770,9.1,2709
771,1,771,8.2,1023
772,1,772,8.0,950
773,1,773,7.9,914
774,1,774,8.1,1030
775,1,775,7.2,835
776,1,776,7.5,839
777,1,777,7.0,917
778,1,778,7.1,884
779,1,779,7.7,858
780,1,780,6.8,748
781,1,781,6.7,754
782,1,782,7.0,746
783,1,783,7.6,1078
784,1,784,7.6,1077
785,1,785,8.4,1843
786,1,786,7.9,1152
787,1,787,7.7,1072
788,1,788,7.4,1026
789,1,789,7.8,1073
790,1,790,7.7,1065
791,1,791,7.2,918
792,1,792,7.3,904
793,1,793,8.2,1144
794,1,794,7.9,1120
795,1,795,7.5,1033
796,1,796,7.6,1023
797,1,797,7.7,1065
798,1,798,8.2,1539
799,1,799,8.5,1833
800,1,800,8.6,1808
801,1,801,8.3,1614
802,1,802,8.8,2396
803,1,803,9.2,2901
804,1,804,9.5,5068
805,1,805,8.9,2620
806,1,806,9.1,3035
807,1,807,8.3,2247
808,1,808,9.7,44939
809,1,809,9.0,2953
810,1,810,9.1,2771
811,1,811,8.9,2610
812,1,812,8.8,2495
813,1,813,8.5,1876
814,1,814,8.5,1861
815,1,815,8.9,2531
816,1,816,9.0,2708
